,oid,class_original,class_hierachical
187,ZTF18abmascw,E,Periodic
188,ZTF18abmekhq,RRL,Periodic
189,ZTF18abmfmjk,RRL,Periodic
190,ZTF18abmotqd,RRL,Periodic
191,ZTF18abmplye,RRL,Periodic
192,ZTF18abmrrru,Periodic-Other,Periodic
193,ZTF18abmvhty,RRL,Periodic
194,ZTF18abmvqyr,RRL,Periodic
195,ZTF18abncigk,RRL,Periodic
196,ZTF18abnjsor,RRL,Periodic
197,ZTF18abnnbgq,LPV,Periodic
198,ZTF18abnoqky,LPV,Periodic
199,ZTF18abnttng,E,Periodic
200,ZTF18abnuepj,RRL,Periodic
201,ZTF18abnufhw,LPV,Periodic
202,ZTF18abnuoqf,E,Periodic
203,ZTF18abnyhes,E,Periodic
204,ZTF18aboacki,E,Periodic
205,ZTF18abobios,RRL,Periodic
206,ZTF18abojnkw,E,Periodic
207,ZTF18aboluur,E,Periodic
208,ZTF18abolvpm,E,Periodic
209,ZTF18aborxfa,RRL,Periodic
210,ZTF18abotfhz,E,Periodic
211,ZTF18abpcvjz,E,Periodic
212,ZTF18abpfecf,LPV,Periodic
213,ZTF18abqvoxq,QSO,Stochastic
214,ZTF18abqxupq,QSO,Stochastic
215,ZTF18abrymgp,E,Periodic
216,ZTF18abscggk,RRL,Periodic
217,ZTF18absggfa,E,Periodic
218,ZTF18absgjkq,E,Periodic
219,ZTF18abshgtz,AGN,Stochastic
220,ZTF18abskrdb,E,Periodic
221,ZTF18absqivk,E,Periodic
222,ZTF18abstbck,LPV,Periodic
223,ZTF18absuten,RRL,Periodic
224,ZTF18absutup,LPV,Periodic
225,ZTF18abtdoey,QSO,Stochastic
226,ZTF18abtjjyf,RRL,Periodic
227,ZTF18abtmwjn,E,Periodic
228,ZTF18abtrdrf,E,Periodic
229,ZTF18abttpjs,E,Periodic
230,ZTF18abtvgqs,RRL,Periodic
231,ZTF18abtyuyp,E,Periodic
232,ZTF18abtzzsw,E,Periodic
233,ZTF18abudvit,E,Periodic
234,ZTF18abudwkb,E,Periodic
235,ZTF18abufumo,RRL,Periodic
236,ZTF18abuizyd,E,Periodic
237,ZTF18abukteg,LPV,Periodic
238,ZTF18abuncpy,Periodic-Other,Periodic
239,ZTF18abusecb,E,Periodic
240,ZTF18abutaex,RRL,Periodic
241,ZTF18abutrfq,RRL,Periodic
242,ZTF18abuyhup,E,Periodic
243,ZTF18abvbcbm,E,Periodic
244,ZTF18abvbdsu,E,Periodic
245,ZTF18abvbocf,RRL,Periodic
246,ZTF18abviwkr,E,Periodic
247,ZTF18abvldku,E,Periodic
248,ZTF18abvmtsy,E,Periodic
249,ZTF18abvpojy,E,Periodic
250,ZTF18abvtdzm,E,Periodic
251,ZTF18abvtipg,LPV,Periodic
252,ZTF18abwklir,E,Periodic
253,ZTF18abwnmcu,E,Periodic
254,ZTF18abwtlkp,E,Periodic
255,ZTF18abxbbfp,E,Periodic
256,ZTF18abxilbb,E,Periodic
257,ZTF18abxkckr,RRL,Periodic
258,ZTF18abybwfh,YSO,Stochastic
259,ZTF18acaksce,E,Periodic
260,ZTF18acavjfi,E,Periodic
261,ZTF18acavoik,RRL,Periodic
262,ZTF18acaywol,RRL,Periodic
263,ZTF18acbujwf,E,Periodic
264,ZTF18acbyibu,E,Periodic
265,ZTF18acckqvx,E,Periodic
266,ZTF18acclino,E,Periodic
267,ZTF18accvycz,QSO,Stochastic
268,ZTF18accwiuq,AGN,Stochastic
269,ZTF18acdvqku,QSO,Stochastic
270,ZTF18acdwbft,AGN,Stochastic
271,ZTF18acebjus,E,Periodic
272,ZTF18aceezaa,QSO,Stochastic
273,ZTF18acehmol,QSO,Stochastic
274,ZTF18aceikhp,AGN,Stochastic
275,ZTF18acelnre,E,Periodic
276,ZTF18aceqzfu,QSO,Stochastic
277,ZTF18acerlpm,QSO,Stochastic
278,ZTF18acewlyu,E,Periodic
279,ZTF18acewujh,AGN,Stochastic
280,ZTF18acfpalr,RRL,Periodic
281,ZTF18acgmccq,YSO,Stochastic
282,ZTF18acgpwio,E,Periodic
283,ZTF18acmyxil,E,Periodic
284,ZTF18acnmerj,E,Periodic
285,ZTF18acpdeos,QSO,Stochastic
286,ZTF18acprsya,YSO,Stochastic
287,ZTF18acqsqcd,RRL,Periodic
288,ZTF18acqzhtp,RRL,Periodic
289,ZTF18acrnimn,RRL,Periodic
290,ZTF18acrungd,E,Periodic
291,ZTF18acsiggs,E,Periodic
292,ZTF18acsosvh,E,Periodic
293,ZTF18actxgvf,E,Periodic
294,ZTF18acuemsf,AGN,Stochastic
295,ZTF18acuenec,E,Periodic
296,ZTF18acueucb,RRL,Periodic
297,ZTF18acvhure,QSO,Stochastic
298,ZTF18acvvpon,E,Periodic
299,ZTF18acvvyau,RRL,Periodic
300,ZTF18acvvykn,E,Periodic
301,ZTF18acvwauz,E,Periodic
302,ZTF18acwyqdm,QSO,Stochastic
303,ZTF18acwyumn,QSO,Stochastic
304,ZTF18acwyxty,QSO,Stochastic
305,ZTF18acwzasl,QSO,Stochastic
306,ZTF18acxzjsh,QSO,Stochastic
307,ZTF18aczerfr,QSO,Stochastic
308,ZTF18aczesze,QSO,Stochastic
309,ZTF18aczexyr,Periodic-Other,Periodic
310,ZTF18aczrrxp,E,Periodic
311,ZTF18adaziki,QSO,Stochastic
312,ZTF18adbltnm,DSCT,Periodic
313,ZTF18adcayfr,Periodic-Other,Periodic
314,ZTF19aaaeahy,QSO,Stochastic
315,ZTF19aaakxvl,E,Periodic
316,ZTF19aaapmbd,QSO,Stochastic
317,ZTF19aabzvpd,RRL,Periodic
318,ZTF19aackymy,E,Periodic
319,ZTF19aadaedp,RRL,Periodic
320,ZTF19aadgpmh,QSO,Stochastic
321,ZTF19aadgwpc,QSO,Stochastic
322,ZTF19aadlirl,LPV,Periodic
323,ZTF19aadormf,RRL,Periodic
324,ZTF19aaipueg,QSO,Stochastic
325,ZTF19aaknvuh,SNIa,Transient
326,ZTF19aalbcjt,QSO,Stochastic
327,ZTF19aalfcfs,QSO,Stochastic
328,ZTF19aalfpjj,QSO,Stochastic
329,ZTF19aanevrw,AGN,Stochastic
330,ZTF19aannrmo,QSO,Stochastic
331,ZTF19aanogch,RRL,Periodic
332,ZTF19aanwsez,Blazar,Stochastic
333,ZTF19aanxppa,QSO,Stochastic
334,ZTF19aaodzqh,LPV,Periodic
335,ZTF19aaozsjc,QSO,Stochastic
336,ZTF19aaprour,RRL,Periodic
337,ZTF19aapvogv,SNIa,Transient
338,ZTF19aapwxwv,E,Periodic
339,ZTF19aardosg,LPV,Periodic
340,ZTF19aargvqm,LPV,Periodic
341,ZTF19aasbaqy,QSO,Stochastic
342,ZTF19aasgowd,RRL,Periodic
343,ZTF19aaskjoo,QSO,Stochastic
344,ZTF19aattawe,E,Periodic
345,ZTF19aaujnth,QSO,Stochastic
346,ZTF19aaumlit,QSO,Stochastic
347,ZTF19aavprkx,QSO,Stochastic
348,ZTF19aaxrncq,RRL,Periodic
349,ZTF19aaxtxtb,LPV,Periodic
350,ZTF19aaxtypl,LPV,Periodic
351,ZTF19aaydqnt,E,Periodic
352,ZTF19aayhrnb,E,Periodic
353,ZTF19aayljdw,RRL,Periodic
354,ZTF19aayrjcu,QSO,Stochastic
355,ZTF19aayxzvt,RRL,Periodic
356,ZTF19aazloha,RRL,Periodic
357,ZTF19aazpnqj,QSO,Stochastic
358,ZTF19abbwlax,AGN,Stochastic
359,ZTF19abcnlpp,QSO,Stochastic
360,ZTF19abeyxtz,QSO,Stochastic
361,ZTF19abfiqah,QSO,Stochastic
362,ZTF19abfqlih,QSO,Stochastic
363,ZTF19abjplnh,QSO,Stochastic
364,ZTF19abqgxze,LPV,Periodic
365,ZTF19abqwakm,RRL,Periodic
366,ZTF19abrrhsr,QSO,Stochastic
367,ZTF19abuxfqt,QSO,Stochastic
368,ZTF19acaheep,AGN,Stochastic
369,ZTF19acfxbki,SNIa,Transient
370,ZTF19acmbgug,QSO,Stochastic
371,ZTF19acvghzz,QSO,Stochastic
372,ZTF19adccmdp,QSO,Stochastic
373,ZTF19adceqlt,QSO,Stochastic
374,ZTF19adcfnbt,QSO,Stochastic
375,ZTF19adcfnyc,QSO,Stochastic
376,ZTF19adcfowp,QSO,Stochastic
377,ZTF19adcfrvn,QSO,Stochastic
378,ZTF19adcfvpg,QSO,Stochastic
379,ZTF20aacxkyj,QSO,Stochastic
380,ZTF20aacyvzk,QSO,Stochastic
381,ZTF20aadclze,QSO,Stochastic
382,ZTF20aadvasi,AGN,Stochastic
383,ZTF20aahqbpq,QSO,Stochastic
384,ZTF20aaicdhx,AGN,Stochastic
385,ZTF20aaieubj,QSO,Stochastic
386,ZTF20aaifsey,QSO,Stochastic
387,ZTF20aajveoa,QSO,Stochastic
388,ZTF20aaljupo,QSO,Stochastic
389,ZTF20aalrnnl,QSO,Stochastic
390,ZTF20aandgck,QSO,Stochastic
391,ZTF20aanhloz,QSO,Stochastic
392,ZTF20aapcoxv,QSO,Stochastic
393,ZTF20aapnacw,QSO,Stochastic
394,ZTF20aarscwt,QSO,Stochastic
395,ZTF20aatqbhv,AGN,Stochastic
396,ZTF20aavxphg,QSO,Stochastic
397,ZTF20aavyzwt,QSO,Stochastic
398,ZTF20aavzfzv,Blazar,Stochastic
399,ZTF20aawlwfx,QSO,Stochastic
400,ZTF20aazfvln,QSO,Stochastic
401,ZTF17aaadosl,RRL,Periodic
402,ZTF17aaagyfr,RRL,Periodic
403,ZTF17aaaieeq,E,Periodic
404,ZTF17aaaiyyp,E,Periodic
405,ZTF17aaakpay,RRL,Periodic
406,ZTF17aaanwwp,LPV,Periodic
407,ZTF17aaarsfe,E,Periodic
408,ZTF17aaaskum,E,Periodic
409,ZTF17aabcwge,E,Periodic
410,ZTF17aabhlpx,RRL,Periodic
411,ZTF17aabqpzh,E,Periodic
412,ZTF17aabsipk,RRL,Periodic
413,ZTF17aabuklr,Periodic-Other,Periodic
414,ZTF17aabukyt,RRL,Periodic
415,ZTF17aabulab,RRL,Periodic
416,ZTF17aaburqu,RRL,Periodic
417,ZTF17aabvbcv,E,Periodic
418,ZTF17aabwlxe,RRL,Periodic
419,ZTF17aabxofq,RRL,Periodic
420,ZTF17aabxqyw,E,Periodic
421,ZTF17aacfelz,E,Periodic
422,ZTF17aackvns,RRL,Periodic
423,ZTF17aadjwjp,E,Periodic
424,ZTF17aadkrxy,Periodic-Other,Periodic
425,ZTF17aadlybn,E,Periodic
426,ZTF17aadsniz,RRL,Periodic
427,ZTF18aaaaaes,E,Periodic
428,ZTF18aaaakzz,RRL,Periodic
429,ZTF18aaaatck,E,Periodic
430,ZTF18aaacutj,RRL,Periodic
431,ZTF18aaacyii,RRL,Periodic
432,ZTF18aaadlhq,E,Periodic
433,ZTF18aaadwci,LPV,Periodic
434,ZTF18aaadwxx,E,Periodic
435,ZTF18aaafupp,RRL,Periodic
436,ZTF18aaagbui,E,Periodic
437,ZTF18aaahoks,RRL,Periodic
438,ZTF18aaaoxli,E,Periodic
439,ZTF18aaauiyu,E,Periodic
440,ZTF18aaauvyi,RRL,Periodic
441,ZTF18aaaxsbz,E,Periodic
442,ZTF18aabdres,E,Periodic
443,ZTF18aabggww,E,Periodic
444,ZTF18aabgivg,E,Periodic
445,ZTF18aabgzcc,E,Periodic
446,ZTF18aabhadu,E,Periodic
447,ZTF18aabhldo,E,Periodic
448,ZTF18aabhmjq,E,Periodic
449,ZTF18aabhxtz,E,Periodic
450,ZTF18aabirqt,RRL,Periodic
451,ZTF18aabjihf,E,Periodic
452,ZTF18aabkngc,E,Periodic
453,ZTF18aablakb,RRL,Periodic
454,ZTF18aabqvqp,E,Periodic
455,ZTF18aacipxo,QSO,Stochastic
456,ZTF18aactiia,E,Periodic
457,ZTF18aadgdhy,QSO,Stochastic
458,ZTF18aafbrrj,E,Periodic
459,ZTF18aafmkoz,E,Periodic
460,ZTF18aagrfnl,RRL,Periodic
461,ZTF18aaholem,E,Periodic
462,ZTF18aaigpfu,E,Periodic
463,ZTF18aaijcei,AGN,Stochastic
464,ZTF18aaikalw,QSO,Stochastic
465,ZTF18aaimvkw,E,Periodic
466,ZTF18aaipvwu,E,Periodic
467,ZTF18aaixqgx,RRL,Periodic
468,ZTF18aaixwpa,E,Periodic
469,ZTF18aajbohk,E,Periodic
470,ZTF18aajcksu,E,Periodic
471,ZTF18aajtlfl,E,Periodic
472,ZTF18aaksunj,E,Periodic
473,ZTF18aakxpdk,RRL,Periodic
474,ZTF18aamiine,RRL,Periodic
475,ZTF18aammoxe,RRL,Periodic
476,ZTF18aanguyh,LPV,Periodic
477,ZTF18aanvtie,RRL,Periodic
478,ZTF18aaqqzpe,QSO,Stochastic
479,ZTF18aarllza,QSO,Stochastic
480,ZTF18aarmxjn,RRL,Periodic
481,ZTF18aasxpyg,QSO,Stochastic
482,ZTF18aavskqq,E,Periodic
483,ZTF18aavzoke,LPV,Periodic
484,ZTF18aawfedc,QSO,Stochastic
485,ZTF18aawfhtw,QSO,Stochastic
486,ZTF18aaxczbv,LPV,Periodic
487,ZTF18aaxumbs,LPV,Periodic
488,ZTF18aaxwkyi,AGN,Stochastic
489,ZTF18aaydkga,LPV,Periodic
490,ZTF18aayfbcn,LPV,Periodic
491,ZTF18aaykmkz,RRL,Periodic
492,ZTF18aaykois,QSO,Stochastic
493,ZTF18aaynrvg,LPV,Periodic
494,ZTF18aaznddr,LPV,Periodic
495,ZTF18abachcm,LPV,Periodic
496,ZTF18abafawu,Periodic-Other,Periodic
497,ZTF18abajwwr,E,Periodic
498,ZTF18abamjry,QSO,Stochastic
499,ZTF18abaqwpc,LPV,Periodic
500,ZTF18abashpu,E,Periodic
501,ZTF18abbkghl,E,Periodic
502,ZTF18abbkkrw,LPV,Periodic
503,ZTF18abblrcz,RRL,Periodic
504,ZTF18abcddao,E,Periodic
505,ZTF18abcgmkv,RRL,Periodic
506,ZTF18abcgxgv,LPV,Periodic
507,ZTF18abchhqp,E,Periodic
508,ZTF18abckioq,YSO,Stochastic
509,ZTF18abckpdy,LPV,Periodic
510,ZTF18abcllqp,RRL,Periodic
511,ZTF18abcodcx,RRL,Periodic
512,ZTF18abcscbr,RRL,Periodic
513,ZTF18abcwala,LPV,Periodic
514,ZTF18abcwxtn,RRL,Periodic
515,ZTF18abdegib,E,Periodic
516,ZTF18abdeyov,RRL,Periodic
517,ZTF18abdjxax,YSO,Stochastic
518,ZTF18abdlhoy,RRL,Periodic
519,ZTF18abdnyyv,LPV,Periodic
520,ZTF18abdqbaq,E,Periodic
521,ZTF18abdsazw,LPV,Periodic
522,ZTF18abduhof,LPV,Periodic
523,ZTF18abeaapa,RRL,Periodic
524,ZTF18abebodz,LPV,Periodic
525,ZTF18abebxhw,YSO,Stochastic
526,ZTF18abehfhv,YSO,Stochastic
527,ZTF18abehjkg,LPV,Periodic
528,ZTF18abejtng,RRL,Periodic
529,ZTF18abestog,RRL,Periodic
530,ZTF18abetiux,RRL,Periodic
531,ZTF18abfrkgw,RRL,Periodic
532,ZTF18abfxgkj,RRL,Periodic
533,ZTF18abgithq,E,Periodic
534,ZTF18abgyilg,Blazar,Stochastic
535,ZTF18abgyjae,RRL,Periodic
536,ZTF18abihwnb,E,Periodic
537,ZTF18abikbxc,RRL,Periodic
538,ZTF18abiliwt,LPV,Periodic
539,ZTF18abiltxl,E,Periodic
540,ZTF18abinela,RRL,Periodic
541,ZTF18abinfdl,CEP,Periodic
542,ZTF18abinfyc,E,Periodic
543,ZTF18abkeqik,E,Periodic
544,ZTF18abkobvi,LPV,Periodic
545,ZTF18ablihyd,LPV,Periodic
546,ZTF18ablmiks,LPV,Periodic
547,ZTF18ablqgfg,E,Periodic
548,ZTF18ablqrmr,RRL,Periodic
549,ZTF18ablwxwp,RRL,Periodic
550,ZTF18abmagni,LPV,Periodic
551,ZTF18abmfmrz,LPV,Periodic
552,ZTF18abmioqa,E,Periodic
553,ZTF18abmjvfz,RRL,Periodic
554,ZTF18abmofek,E,Periodic
555,ZTF18abmotuu,LPV,Periodic
556,ZTF18abmqudx,E,Periodic
557,ZTF18abmvheu,RRL,Periodic
558,ZTF18abmvnhz,LPV,Periodic
559,ZTF18abmwdwi,RRL,Periodic
560,ZTF18abmwsvb,LPV,Periodic
561,ZTF18abnckjb,E,Periodic
562,ZTF18abnjuat,RRL,Periodic
563,ZTF18abnjuro,E,Periodic
564,ZTF18abnmtvc,RRL,Periodic
565,ZTF18abnodyg,RRL,Periodic
566,ZTF18abnyhxn,QSO,Stochastic
567,ZTF18abnysyx,E,Periodic
568,ZTF18abnyudr,LPV,Periodic
569,ZTF18abobksj,RRL,Periodic
570,ZTF18abobkya,RRL,Periodic
571,ZTF18abodpzs,E,Periodic
572,ZTF18abomakq,E,Periodic
573,ZTF18aborsqp,RRL,Periodic
574,ZTF18abosqyl,E,Periodic
575,ZTF18abpmwuc,LPV,Periodic
576,ZTF18abqvamg,QSO,Stochastic
577,ZTF18abqweiz,QSO,Stochastic
578,ZTF18abrecxd,E,Periodic
579,ZTF18abrrnls,LPV,Periodic
580,ZTF18abryrxy,RRL,Periodic
581,ZTF18abrywam,LPV,Periodic
582,ZTF18abslfjq,E,Periodic
583,ZTF18absnrlv,LPV,Periodic
584,ZTF18absoofl,RRL,Periodic
585,ZTF18absqgnq,RRL,Periodic
586,ZTF18absqqlt,E,Periodic
587,ZTF18absunky,RRL,Periodic
588,ZTF18absuyax,E,Periodic
589,ZTF18absvbfn,RRL,Periodic
590,ZTF18abtfgcg,LPV,Periodic
591,ZTF18abtlqxd,E,Periodic
592,ZTF18abtsflm,E,Periodic
593,ZTF18abtvisj,RRL,Periodic
594,ZTF18abtvjan,E,Periodic
595,ZTF18abtwadr,RRL,Periodic
596,ZTF18abtzatb,E,Periodic
597,ZTF18abudvph,RRL,Periodic
598,ZTF18abuktsb,RRL,Periodic
599,ZTF18abupjuc,AGN,Stochastic
600,ZTF18abuvxai,E,Periodic
601,ZTF18abvbgas,RRL,Periodic
602,ZTF18abvemzi,QSO,Stochastic
603,ZTF18abvklaz,CV/Nova,Stochastic
604,ZTF18abvmijd,E,Periodic
605,ZTF18abvpipt,RRL,Periodic
606,ZTF18abvtfpt,Blazar,Stochastic
607,ZTF18abvtnrj,E,Periodic
608,ZTF18abvvwou,LPV,Periodic
609,ZTF18abwkuxp,E,Periodic
610,ZTF18abwlnro,E,Periodic
611,ZTF18abyzmdf,RRL,Periodic
612,ZTF18abzsdio,E,Periodic
613,ZTF18acakaan,AGN,Stochastic
614,ZTF18acawhzc,RRL,Periodic
615,ZTF18acbwgfz,QSO,Stochastic
616,ZTF18acbxnex,RRL,Periodic
617,ZTF18acbzlgr,E,Periodic
618,ZTF18accdmxn,QSO,Stochastic
619,ZTF18accqdcm,E,Periodic
620,ZTF18acctbrp,Periodic-Other,Periodic
621,ZTF18acdvxtz,QSO,Stochastic
622,ZTF18acehkav,QSO,Stochastic
623,ZTF18acetkxy,RRL,Periodic
624,ZTF18achckft,E,Periodic
625,ZTF18achykqd,E,Periodic
626,ZTF18achynei,E,Periodic
627,ZTF18acmfbfd,E,Periodic
628,ZTF18acmfgst,E,Periodic
629,ZTF18acnattc,RRL,Periodic
630,ZTF18acnnyrf,QSO,Stochastic
631,ZTF18acpkfdc,QSO,Stochastic
632,ZTF18acqlfbv,E,Periodic
633,ZTF18acqslfp,RRL,Periodic
634,ZTF18acqyorl,E,Periodic
635,ZTF18acrmxyo,AGN,Stochastic
636,ZTF18acrulxr,YSO,Stochastic
637,ZTF18acrvcpv,E,Periodic
638,ZTF18acrvsaz,DSCT,Periodic
639,ZTF18acrygvs,QSO,Stochastic
640,ZTF18acszimn,E,Periodic
